Name,Bachelors,Masters,Professionals,Doctors,Total,State,Bachelor's Percent,Master's Percent,Professional's Percent,Doctor's Percent,Percent Sum
Puerto Rico,426310.0,115565.0,29241.0,24653.0,2390791.0,72,17.831336992652222,4.833755857371054,1.2230680138916368,1.0311649993663186,24.919325863281234
Alabama,503930.0,216001.0,49452.0,34195.0,3276637.0,01,15.379488176444324,6.592155310460084,1.5092303480672409,1.043600496484658,24.524474331456307
Alaska,88308.0,35770.0,8878.0,4865.0,475442.0,02,18.573874415806767,7.5235254773452915,1.8673150457889711,1.023258357486297,28.987973296427327
Arizona,802435.0,347309.0,79689.0,55224.0,4516175.0,04,17.768022718340188,7.690335294801463,1.7645241825217137,1.2228046964521968,28.445686892115564
Arkansas,280677.0,111094.0,26156.0,19501.0,1985770.0,05,14.134416372490268,5.594504902380437,1.317171676478142,0.9820371946398626,22.028130145988708
California,5291984.0,2135376.0,616368.0,410003.0,25950818.0,06,20.392359115616316,8.22854986690593,2.3751390033254443,1.5799232224587294,32.57597120830642
Colorado,909794.0,391994.0,83193.0,61492.0,3668477.0,08,24.800319042480027,10.685469746709602,2.267780335000056,1.6762269464957802,39.42979607068546
Connecticut,532055.0,306063.0,73239.0,41842.0,2480297.0,09,21.451261683580636,12.33977221276323,2.952831858442759,1.6869753904471925,38.43084114523381
District of Columbia,113830.0,96398.0,39862.0,20333.0,477843.0,11,23.821631791195017,20.173571654288125,8.342070512699777,4.255163306776494,56.592437264959415
Delaware,117478.0,60642.0,12303.0,11346.0,651540.0,10,18.030819289682906,9.307486877244681,1.8882954231513032,1.741412653098812,30.968014243177702
Florida,2616384.0,1021907.0,295243.0,162324.0,14396066.0,12,18.17429845070174,7.098515663932077,2.0508588943673915,1.1275580425930252,28.451231051594235
Georgia,1241995.0,539097.0,136781.0,85658.0,6693826.0,13,18.554336488579178,8.053645254597296,2.043390431720215,1.2796568061374765,29.931028981034167
Hawaii,209097.0,69536.0,22323.0,14394.0,984320.0,15,21.24278689856957,7.064369310793238,2.267860045513654,1.462329323797139,32.0373455786736
Idaho,194303.0,62960.0,15793.0,12085.0,1065313.0,16,18.239052747877853,5.910000159577514,1.482475103561113,1.1344083851412683,26.76593639615775
Illinois,1776326.0,823826.0,187683.0,110749.0,8666079.0,17,20.49745911617007,9.50632921763118,2.1657199293936737,1.2779597324233947,33.44746799561832
Indiana,704841.0,295381.0,61395.0,44691.0,4369451.0,18,16.13111120825019,6.760139889427757,1.4050964297345365,1.0228058399098652,25.319153367322347
Iowa,386963.0,128747.0,32657.0,24058.0,2067914.0,19,18.71272209579315,6.22593589481961,1.5792242810871244,1.1633946092535763,27.68127688095346
Kansas,389007.0,162930.0,35336.0,23073.0,1886741.0,20,20.617933251039755,8.635525490780134,1.872859072866917,1.222902348547045,32.34922016323385
Kentucky,406916.0,205326.0,51749.0,28577.0,2986199.0,21,13.62655335428081,6.875831115073041,1.7329387626209773,0.9569690432553223,23.19229227523015
Maine,185832.0,75126.0,17260.0,12809.0,961086.0,23,19.335626572439928,7.816782265062648,1.7958850716793293,1.3327631450255233,30.28105705420743
Louisiana,473914.0,168699.0,51419.0,29420.0,3092069.0,22,15.326760172557599,5.455861431294062,1.662931842724079,0.9514664776238823,23.39701992419962
Massachusetts,1101605.0,617390.0,136720.0,125146.0,4706536.0,25,23.405855176715953,13.11771544932409,2.9048965098747783,2.6589831672380706,42.08745030315289
Maryland,860298.0,510441.0,121923.0,104335.0,4095427.0,24,21.006307767175436,12.46368205317785,2.977052209696327,2.5475976009339196,38.99463963098353
Michigan,1147842.0,545875.0,114622.0,78702.0,6719972.0,26,17.081053313912616,8.12317372750958,1.7056916308579857,1.1711655941423564,28.081084266422533
Minnesota,849439.0,304197.0,79377.0,52737.0,3698605.0,27,22.96646979063728,8.2246414526558,2.146133474647874,1.4258619128022592,34.763106630743216
Mississippi,259993.0,112174.0,26246.0,18905.0,1956101.0,28,13.291389350549895,5.734570965405161,1.341750758268617,0.9664633881379335,21.33417446236161
Missouri,718198.0,318072.0,70213.0,49226.0,4100209.0,29,17.51613149476039,7.757458217373797,1.712424903218348,1.2005729464034638,28.186587561756003
Montana,145089.0,49649.0,12630.0,8940.0,703919.0,30,20.611604460172263,7.053226294502634,1.7942405305155849,1.2700324895335968,30.729103774724077
Nebraska,251182.0,88669.0,21989.0,15612.0,1233842.0,31,20.357711927459107,7.186414467978882,1.7821568725979502,1.2653159804902085,30.591599248526148
New Hampshire,209224.0,97891.0,18073.0,13370.0,939471.0,33,22.270405366424296,10.419800078980618,1.9237421910841315,1.4231413210200208,36.03708895750906
Nevada,306611.0,111435.0,30932.0,17143.0,1968023.0,32,15.579645156586077,5.662281385939087,1.5717295986886333,0.8710772181016178,23.684733359315416
New Jersey,1439971.0,658970.0,154079.0,94816.0,6163699.0,34,23.362123945377604,10.691145041313666,2.4997813812777037,1.5382970518190457,38.09134741978802
New Mexico,208790.0,115064.0,22601.0,24839.0,1381630.0,35,15.111860628388207,8.328134160375788,1.6358214572642458,1.7978040430505997,26.873620289078843
New York,2718987.0,1516018.0,381597.0,204211.0,13660809.0,36,19.90355768827454,11.097571161415111,2.7933704365532086,1.4948675440817598,35.28936683032462
North Carolina,1303604.0,520695.0,110809.0,90608.0,6784048.0,37,19.215724888738993,7.675284726759009,1.6333758251710484,1.3356037575205837,29.859989198189634
North Dakota,102497.0,26075.0,6583.0,5115.0,485490.0,38,21.112072339286083,5.370862427650415,1.3559496591072937,1.0535747389235617,28.892459164967352
Ohio,1341204.0,591026.0,129078.0,87319.0,7888150.0,39,17.002769977751438,7.492580643116574,1.6363532640733252,1.1069642438341056,27.23866812877544
Oklahoma,422888.0,151995.0,34617.0,24864.0,2553488.0,40,16.561190027131516,5.9524462225786845,1.3556750609362567,0.973726917847274,24.843038228493732
Oregon,561492.0,238020.0,59677.0,43738.0,2797953.0,41,20.067956824149654,8.506933461712903,2.1328807167239763,1.563214249846227,32.27098525243276
Pennsylvania,1621733.0,752518.0,171742.0,127226.0,8885953.0,42,18.2505241700018,8.468624580841245,1.9327358584948626,1.431765394212641,30.08365000355055
Rhode Island,144515.0,67318.0,15471.0,13092.0,729261.0,44,19.816636293453236,9.230988630956544,2.121462686198768,1.7952420326878855,32.96432964329644
South Carolina,571099.0,241554.0,48967.0,36461.0,3325601.0,45,17.17280575751571,7.2634690691998225,1.4724255856309882,1.0963732570443658,27.005073669390885
South Dakota,109468.0,32264.0,8192.0,6190.0,560605.0,46,19.52676126684564,5.755210888236816,1.4612784402565087,1.1041642511215561,27.84741484646052
Tennessee,738613.0,301103.0,73194.0,53863.0,4478450.0,47,16.492603467717625,6.723375274927709,1.6343601022675256,1.2027152251336959,26.053054070046553
Texas,3288777.0,1255615.0,274956.0,191047.0,17454431.0,48,18.84207511548214,7.193674775190323,1.5752790795643812,1.094547281432434,28.705576251669278
Utah,375297.0,136858.0,30298.0,24698.0,1743090.0,49,21.530557802523106,7.8514591902885105,1.7381776041397747,1.4169090523151415,32.537103649266534
Vermont,95590.0,46246.0,11257.0,8049.0,437900.0,50,21.829184745375656,10.560858643525918,2.57067823704042,1.838090888330669,36.79881251427266
Virginia,1220919.0,670315.0,139950.0,102313.0,5680765.0,51,21.49215818644144,11.799731198174893,2.4635766485675785,1.8010426412639846,37.5565086744479
West Virginia,155423.0,74597.0,16296.0,11105.0,1293665.0,54,12.01416131687879,5.766330541523501,1.2596769642836438,0.8584138861297167,19.898582708815653
Washington,1064440.0,444410.0,104838.0,73660.0,4896055.0,53,21.740768843487256,9.076899667181026,2.141274965252637,1.5044765632739012,34.46342003919482
Wyoming,67798.0,26053.0,5410.0,4693.0,388617.0,56,17.44596865294107,6.704029931783736,1.3921161452020885,1.2076157244793717,26.749730454406265
Wisconsin,748413.0,278119.0,64212.0,43737.0,3907816.0,55,19.151694962096474,7.116993225883716,1.6431684603369248,1.1192185097763048,29.031075158093415
